run_id,date,time,timestamp,gpu_id,baseline,budget,step,checkpoint_idx,M,B,N_per_prompt,S,K,T,R,probe_seed,total_bias_norm,total_bias_proj_mean,total_bias_proj_std,budget_bias_proj_mean,budget_bias_proj_std,baseline_bias_proj_mean,baseline_bias_proj_std,fusion_bias_proj_mean,fusion_bias_proj_std,total_var_mean,total_var_std,within_var_mean,within_var_std,across_var_mean,across_var_std,HL_proxy_mean,HL_proxy_std,g_hat_norm_mean,g_hat_norm_std,g_ref_norm_mean,g_ref_norm_std,reward_mean,reward_std_mean,elapsed_seconds,checkpoint_elapsed_seconds
20260302_015514_reinforce_subset_select_gpu3,2026-03-02,01:55:18,2026-03-02T01:55:18.167205,0,reinforce,subset_select,0,0,256,32,8,4,2,10,32,42,0.000906,0.000129,0.000159,0.000129,0.000159,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.007812,0.0,0.00494,0.001251,0.00247,0.000625,0.094238,0.290534,5.59,5.59
20260302_015514_reinforce_subset_select_gpu3,2026-03-02,01:55:24,2026-03-02T01:55:24.115939,0,reinforce,subset_select,20,1,256,32,8,4,2,10,32,42,0.001631,0.00025,0.000288,0.00025,0.000288,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.007812,0.0,0.005085,0.001348,0.002543,0.000674,0.094727,0.291875,10.34,4.39
20260302_015514_reinforce_subset_select_gpu3,2026-03-02,01:55:28,2026-03-02T01:55:28.698267,0,reinforce,subset_select,40,2,256,32,8,4,2,10,32,42,0.001115,0.000166,0.000197,0.000166,0.000197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007812,0.0,0.004286,0.001064,0.002143,0.000532,0.09668,0.294701,15.71,5.17
20260302_015514_reinforce_subset_select_gpu3,2026-03-02,01:55:34,2026-03-02T01:55:34.062887,0,reinforce,subset_select,60,3,256,32,8,4,2,10,32,42,0.001421,0.000195,0.00025,0.000195,0.00025,0.0,0.0,0.0,0.0,1e-06,1e-06,0.0,0.0,1e-06,1e-06,0.007812,0.0,0.005631,0.001725,0.002815,0.000863,0.110352,0.310863,20.96,5.06
20260302_015514_reinforce_subset_select_gpu3,2026-03-02,01:55:39,2026-03-02T01:55:39.314487,0,reinforce,subset_select,80,4,256,32,8,4,2,10,32,42,0.000784,0.000104,0.000134,0.000104,0.000134,0.0,0.0,0.0,0.0,1e-06,1e-06,0.0,0.0,1e-06,1e-06,0.007812,0.0,0.005343,0.001111,0.002671,0.000556,0.104004,0.304514,26.18,5.03
20260302_015514_reinforce_subset_select_gpu3,2026-03-02,01:55:44,2026-03-02T01:55:44.533698,0,reinforce,subset_select,100,5,256,32,8,4,2,10,32,42,0.001262,0.000173,0.000212,0.000173,0.000212,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.007812,0.0,0.005337,0.000797,0.002668,0.000399,0.098633,0.29662,31.43,5.07
20260302_015514_reinforce_subset_select_gpu3,2026-03-02,01:55:49,2026-03-02T01:55:49.789768,0,reinforce,subset_select,120,6,256,32,8,4,2,10,32,42,0.000987,0.000144,0.000173,0.000144,0.000173,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.007812,0.0,0.004869,0.000807,0.002478,0.00037,0.103516,0.304095,36.75,5.13
20260302_015514_reinforce_subset_select_gpu3,2026-03-02,01:55:55,2026-03-02T01:55:55.101929,0,reinforce,subset_select,140,7,256,32,8,4,2,10,32,42,0.001485,0.000228,0.000258,0.000228,0.000258,0.0,0.0,0.0,0.0,1e-06,1e-06,0.0,0.0,1e-06,0.0,0.007812,0.0,0.006253,0.001765,0.003126,0.000883,0.113281,0.314368,41.82,4.88
20260302_015514_reinforce_subset_select_gpu3,2026-03-02,01:56:00,2026-03-02T01:56:00.173105,0,reinforce,subset_select,160,8,256,32,8,4,2,10,32,42,0.001376,0.000189,0.000215,0.000189,0.000215,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.007812,0.0,0.005747,0.001512,0.002891,0.000771,0.10498,0.305989,46.75,4.74
20260302_015514_reinforce_subset_select_gpu3,2026-03-02,01:56:05,2026-03-02T01:56:05.103558,0,reinforce,subset_select,180,9,256,32,8,4,2,10,32,42,0.001295,0.000194,0.000226,0.000194,0.000226,0.0,0.0,0.0,0.0,1e-06,1e-06,0.0,0.0,1e-06,1e-06,0.007812,0.0,0.006516,0.001207,0.003288,0.00058,0.114258,0.316134,51.48,4.54
