run_id,date,time,timestamp,gpu_id,baseline,budget,step,checkpoint_idx,M,B,N_per_prompt,S,K,T,R,probe_seed,total_bias_norm,total_bias_proj_mean,total_bias_proj_std,budget_bias_proj_mean,budget_bias_proj_std,baseline_bias_proj_mean,baseline_bias_proj_std,fusion_bias_proj_mean,fusion_bias_proj_std,total_var_mean,total_var_std,within_var_mean,within_var_std,across_var_mean,across_var_std,HL_proxy_mean,HL_proxy_std,g_hat_norm_mean,g_hat_norm_std,g_ref_norm_mean,g_ref_norm_std,reward_mean,reward_std_mean,elapsed_seconds,checkpoint_elapsed_seconds
20260305_112245_stv_subset_select_gpu0,2026-03-05,11:22:46,2026-03-05T11:22:46.795152,0,stv,subset_select,0,0,256,32,8,4,2,10,32,42,0.080848,0.011295,0.014115,0.012597,0.015526,0.001814,0.002217,0.002437,0.003469,0.007403,0.004536,0.00376,0.002797,0.003644,0.003735,0.007844,0.0,0.451244,0.113083,0.241726,0.061043,0.094238,0.290534,0.85,0.85
20260305_112245_stv_subset_select_gpu0,2026-03-05,11:22:48,2026-03-05T11:22:48.606687,0,stv,subset_select,20,1,256,32,8,4,2,10,32,42,0.157743,0.024234,0.027885,0.025287,0.029106,0.003276,0.003945,0.003675,0.004623,0.006179,0.003993,0.003811,0.003113,0.002368,0.003125,0.007844,0.0,0.488186,0.137561,0.252102,0.070224,0.094238,0.291181,2.19,0.38
20260305_112245_stv_subset_select_gpu0,2026-03-05,11:22:49,2026-03-05T11:22:49.816469,0,stv,subset_select,40,2,256,32,8,4,2,10,32,42,0.104426,0.016131,0.018459,0.015912,0.018857,0.003179,0.003916,0.003386,0.00408,0.005296,0.002732,0.002478,0.001477,0.002818,0.002695,0.007844,0.0,0.409964,0.090338,0.210795,0.050246,0.098145,0.296596,3.42,0.4
20260305_112245_stv_subset_select_gpu0,2026-03-05,11:22:51,2026-03-05T11:22:51.063742,0,stv,subset_select,60,3,256,32,8,4,2,10,32,42,0.123603,0.016924,0.021752,0.019909,0.025435,0.00419,0.005032,0.003888,0.004809,0.009093,0.005472,0.004582,0.002583,0.004511,0.005171,0.007844,0.0,0.530818,0.141173,0.279056,0.083357,0.109375,0.309713,4.69,0.43
20260305_112245_stv_subset_select_gpu0,2026-03-05,11:22:52,2026-03-05T11:22:52.338712,0,stv,subset_select,80,4,256,32,8,4,2,10,32,42,0.075668,0.009771,0.012887,0.010281,0.013272,0.002618,0.003127,0.003001,0.003664,0.008955,0.008952,0.003285,0.002635,0.00567,0.008481,0.007844,0.0,0.48468,0.097704,0.258972,0.049458,0.102539,0.302755,5.89,0.34
20260305_112245_stv_subset_select_gpu0,2026-03-05,11:22:53,2026-03-05T11:22:53.549111,0,stv,subset_select,100,5,256,32,8,4,2,10,32,42,0.090931,0.012174,0.015486,0.0167,0.020233,0.003551,0.004201,0.004392,0.005159,0.007743,0.005107,0.003776,0.003356,0.003967,0.003952,0.007844,0.0,0.483695,0.071119,0.258814,0.04385,0.097656,0.295343,7.13,0.37
20260305_112245_stv_subset_select_gpu0,2026-03-05,11:22:54,2026-03-05T11:22:54.746316,0,stv,subset_select,120,6,256,32,8,4,2,10,32,42,0.087578,0.01321,0.015445,0.013866,0.016957,0.002839,0.003542,0.002574,0.003498,0.007594,0.00486,0.00268,0.00156,0.004914,0.004935,0.007844,0.0,0.463394,0.093707,0.248085,0.043801,0.103516,0.304285,8.34,0.39
20260305_112245_stv_subset_select_gpu0,2026-03-05,11:22:55,2026-03-05T11:22:55.999903,0,stv,subset_select,140,7,256,32,8,4,2,10,32,42,0.105271,0.015149,0.018364,0.023293,0.026762,0.004102,0.004869,0.006369,0.00741,0.010457,0.005854,0.00517,0.002848,0.005288,0.004951,0.007844,0.0,0.557899,0.141807,0.308072,0.078588,0.115234,0.316863,9.6,0.4
20260305_112245_stv_subset_select_gpu0,2026-03-05,11:22:57,2026-03-05T11:22:57.255299,0,stv,subset_select,160,8,256,32,8,4,2,10,32,42,0.098964,0.014181,0.015661,0.019208,0.021305,0.003705,0.004316,0.004366,0.005059,0.009564,0.005153,0.00536,0.00425,0.004204,0.004635,0.007844,0.0,0.531364,0.136208,0.29465,0.077028,0.106445,0.307893,10.8,0.34
20260305_112245_stv_subset_select_gpu0,2026-03-05,11:22:58,2026-03-05T11:22:58.469962,0,stv,subset_select,180,9,256,32,8,4,2,10,32,42,0.103376,0.015336,0.018212,0.018221,0.021147,0.003587,0.004326,0.004263,0.005353,0.01251,0.009905,0.004613,0.003952,0.007897,0.008501,0.007844,0.0,0.592512,0.117137,0.321251,0.058541,0.116211,0.318828,12.02,0.34
