run_id,date,time,timestamp,gpu_id,baseline,budget,step,checkpoint_idx,M,B,N_per_prompt,S,K,T,R,probe_seed,total_bias_norm,total_bias_proj_mean,total_bias_proj_std,budget_bias_proj_mean,budget_bias_proj_std,baseline_bias_proj_mean,baseline_bias_proj_std,fusion_bias_proj_mean,fusion_bias_proj_std,total_var_mean,total_var_std,within_var_mean,within_var_std,across_var_mean,across_var_std,HL_proxy_mean,HL_proxy_std,g_hat_norm_mean,g_hat_norm_std,g_ref_norm_mean,g_ref_norm_std,reward_mean,reward_std_mean,elapsed_seconds,checkpoint_elapsed_seconds
20260305_144823_rloo_rollout_alloc_gpu2,2026-03-05,14:48:26,2026-03-05T14:48:26.365497,0,rloo,rollout_alloc,0,0,256,32,8,4,2,10,32,42,0.121175,0.017523,0.020628,0.018933,0.022757,0.003972,0.004544,0.006989,0.008555,0.009652,0.005416,0.006706,0.004499,0.002945,0.003691,0.006942,0.000473,0.524056,0.111627,0.241726,0.061043,0.094238,0.290534,0.48,0.48
20260305_144823_rloo_rollout_alloc_gpu2,2026-03-05,14:48:27,2026-03-05T14:48:27.007577,0,rloo,rollout_alloc,20,1,256,32,8,4,2,10,32,42,0.139613,0.02103,0.024645,0.020962,0.022871,0.005478,0.006439,0.005039,0.005959,0.008034,0.004619,0.005883,0.004646,0.002151,0.003185,0.006478,0.000345,0.522745,0.125381,0.252652,0.075479,0.094238,0.291078,0.73,0.09
20260305_144823_rloo_rollout_alloc_gpu2,2026-03-05,14:48:27,2026-03-05T14:48:27.212046,0,rloo,rollout_alloc,40,2,256,32,8,4,2,10,32,42,0.114464,0.017127,0.020232,0.016251,0.018428,0.003379,0.003972,0.004732,0.005272,0.005707,0.002718,0.003872,0.002657,0.001835,0.002004,0.00641,0.000295,0.430959,0.075262,0.216812,0.046147,0.098633,0.297287,0.93,0.09
20260305_144823_rloo_rollout_alloc_gpu2,2026-03-05,14:48:27,2026-03-05T14:48:27.415455,0,rloo,rollout_alloc,60,3,256,32,8,4,2,10,32,42,0.105332,0.015272,0.017404,0.021618,0.025369,0.005625,0.006785,0.008779,0.010311,0.008966,0.005145,0.005918,0.004892,0.003048,0.004213,0.006738,0.000279,0.505716,0.094817,0.267197,0.084442,0.106934,0.30643,1.13,0.08
20260305_144823_rloo_rollout_alloc_gpu2,2026-03-05,14:48:27,2026-03-05T14:48:27.619958,0,rloo,rollout_alloc,80,4,256,32,8,4,2,10,32,42,0.1082,0.016527,0.019058,0.019096,0.023461,0.00394,0.004427,0.006124,0.006874,0.013049,0.010357,0.007974,0.007749,0.005075,0.007271,0.006538,0.000544,0.572655,0.132287,0.263134,0.054409,0.099121,0.298051,1.35,0.09
20260305_144823_rloo_rollout_alloc_gpu2,2026-03-05,14:48:27,2026-03-05T14:48:27.825324,0,rloo,rollout_alloc,100,5,256,32,8,4,2,10,32,42,0.101755,0.014513,0.017171,0.021239,0.023158,0.0052,0.005451,0.007869,0.00848,0.008672,0.005674,0.00599,0.005206,0.002682,0.003239,0.006722,0.000767,0.490286,0.120727,0.255217,0.048995,0.097656,0.295259,1.55,0.09
20260305_144823_rloo_rollout_alloc_gpu2,2026-03-05,14:48:28,2026-03-05T14:48:28.026268,0,rloo,rollout_alloc,120,6,256,32,8,4,2,10,32,42,0.098793,0.014602,0.017442,0.025152,0.033169,0.007109,0.009054,0.015502,0.020842,0.010559,0.006404,0.004302,0.002689,0.006256,0.006223,0.007012,0.000793,0.537381,0.069892,0.240477,0.04323,0.100586,0.300349,1.75,0.09
20260305_144823_rloo_rollout_alloc_gpu2,2026-03-05,14:48:28,2026-03-05T14:48:28.225961,0,rloo,rollout_alloc,140,7,256,32,8,4,2,10,32,42,0.124693,0.018824,0.021908,0.02221,0.02782,0.006627,0.007556,0.009092,0.010876,0.011381,0.006992,0.006485,0.004481,0.004895,0.005161,0.006903,0.000549,0.574472,0.12824,0.299604,0.08423,0.111328,0.312269,1.95,0.09
20260305_144823_rloo_rollout_alloc_gpu2,2026-03-05,14:48:28,2026-03-05T14:48:28.424951,0,rloo,rollout_alloc,160,8,256,32,8,4,2,10,32,42,0.187155,0.026247,0.032235,0.032668,0.040652,0.006093,0.008044,0.011066,0.014373,0.015247,0.009157,0.010819,0.008948,0.004428,0.004903,0.00728,0.000806,0.656202,0.200369,0.298673,0.079491,0.106445,0.307934,2.14,0.09
20260305_144823_rloo_rollout_alloc_gpu2,2026-03-05,14:48:28,2026-03-05T14:48:28.624837,0,rloo,rollout_alloc,180,9,256,32,8,4,2,10,32,42,0.174236,0.025191,0.030778,0.025153,0.030044,0.004338,0.005616,0.007894,0.010875,0.014989,0.01167,0.006048,0.005683,0.008941,0.008487,0.006905,0.000528,0.663951,0.111414,0.301537,0.053544,0.110352,0.311862,2.35,0.09
