run_id,date,time,timestamp,gpu_id,baseline,budget,step,checkpoint_idx,M,B,N_per_prompt,S,K,T,R,probe_seed,total_bias_norm,total_bias_proj_mean,total_bias_proj_std,budget_bias_proj_mean,budget_bias_proj_std,baseline_bias_proj_mean,baseline_bias_proj_std,fusion_bias_proj_mean,fusion_bias_proj_std,total_var_mean,total_var_std,within_var_mean,within_var_std,across_var_mean,across_var_std,HL_proxy_mean,HL_proxy_std,g_hat_norm_mean,g_hat_norm_std,g_ref_norm_mean,g_ref_norm_std,reward_mean,reward_std_mean,elapsed_seconds,checkpoint_elapsed_seconds
20260305_144925_grpo_subset_select_gpu3,2026-03-05,14:49:28,2026-03-05T14:49:28.449947,0,grpo,subset_select,0,0,256,32,8,4,2,10,32,42,0.297805,0.041636,0.05221,0.012597,0.015526,0.003517,0.004021,0.005534,0.006743,0.033608,0.020631,0.012928,0.010976,0.02068,0.019555,31776428785664.0,4586371284992.0,0.970204,0.224752,0.241726,0.061043,0.094238,0.290534,0.58,0.58
20260305_144925_grpo_subset_select_gpu3,2026-03-05,14:49:29,2026-03-05T14:49:29.276855,0,grpo,subset_select,20,1,256,32,8,4,2,10,32,42,0.641711,0.099959,0.113419,0.025415,0.029105,0.003915,0.004953,0.005551,0.00693,0.031086,0.016755,0.017738,0.013477,0.013348,0.014975,29907226722304.0,5340576874496.0,1.143699,0.330989,0.253384,0.068654,0.095703,0.293293,0.93,0.11
20260305_144925_grpo_subset_select_gpu3,2026-03-05,14:49:29,2026-03-05T14:49:29.577152,0,grpo,subset_select,40,2,256,32,8,4,2,10,32,42,0.371714,0.055639,0.065135,0.016259,0.019465,0.003165,0.003409,0.004645,0.005682,0.028634,0.016022,0.011895,0.007881,0.016738,0.015772,28839111557120.0,2616337367040.0,0.945752,0.226747,0.211048,0.051803,0.098145,0.296675,1.23,0.11
20260305_144925_grpo_subset_select_gpu3,2026-03-05,14:49:29,2026-03-05T14:49:29.871977,0,grpo,subset_select,60,3,256,32,8,4,2,10,32,42,0.40303,0.058913,0.070923,0.018772,0.024346,0.007146,0.008394,0.006959,0.008186,0.045309,0.028649,0.024674,0.014817,0.020636,0.022969,27236939857920.0,5313808302080.0,1.175287,0.276156,0.2729,0.084957,0.109375,0.309608,1.53,0.11
20260305_144925_grpo_subset_select_gpu3,2026-03-05,14:49:30,2026-03-05T14:49:30.168836,0,grpo,subset_select,80,4,256,32,8,4,2,10,32,42,0.31448,0.040473,0.053604,0.010035,0.012981,0.003326,0.004077,0.003362,0.00438,0.047104,0.048662,0.012509,0.008775,0.034595,0.046584,27503968124928.0,3766904160256.0,1.108813,0.293621,0.264106,0.051295,0.103516,0.303923,1.83,0.11
20260305_144925_grpo_subset_select_gpu3,2026-03-05,14:49:30,2026-03-05T14:49:30.464414,0,grpo,subset_select,100,5,256,32,8,4,2,10,32,42,0.370591,0.050752,0.064763,0.016576,0.020138,0.006103,0.006446,0.007228,0.008401,0.034824,0.018543,0.015216,0.011894,0.019608,0.016065,30708315717632.0,5645623885824.0,1.050476,0.117286,0.256874,0.042303,0.097656,0.295303,2.12,0.11
20260305_144925_grpo_subset_select_gpu3,2026-03-05,14:49:30,2026-03-05T14:49:30.759299,0,grpo,subset_select,120,6,256,32,8,4,2,10,32,42,0.33631,0.048797,0.058685,0.014233,0.017308,0.00667,0.008399,0.005248,0.006224,0.03535,0.02073,0.015557,0.00898,0.019793,0.021239,26969911590912.0,3690411327488.0,1.0205,0.177854,0.242743,0.033546,0.103027,0.303449,2.42,0.11
20260305_144925_grpo_subset_select_gpu3,2026-03-05,14:49:31,2026-03-05T14:49:31.053140,0,grpo,subset_select,140,7,256,32,8,4,2,10,32,42,0.43096,0.063587,0.075364,0.021555,0.025419,0.006459,0.007546,0.006975,0.008482,0.042213,0.021874,0.02425,0.014197,0.017963,0.018867,29373170188288.0,7064917639168.0,1.16669,0.213433,0.306239,0.074166,0.111328,0.312268,2.71,0.11
20260305_144925_grpo_subset_select_gpu3,2026-03-05,14:49:31,2026-03-05T14:49:31.346217,0,grpo,subset_select,160,8,256,32,8,4,2,10,32,42,0.33705,0.046839,0.055782,0.018548,0.020527,0.006072,0.007255,0.008519,0.00915,0.034908,0.019318,0.016759,0.012809,0.018149,0.018006,30975341887488.0,5947014512640.0,1.01053,0.250291,0.273862,0.070557,0.104492,0.305454,3.0,0.1
20260305_144925_grpo_subset_select_gpu3,2026-03-05,14:49:31,2026-03-05T14:49:31.680594,0,grpo,subset_select,180,9,256,32,8,4,2,10,32,42,0.414619,0.061716,0.071526,0.019242,0.02204,0.005931,0.007522,0.006897,0.008762,0.059211,0.040581,0.022463,0.013523,0.036748,0.039275,25367737794560.0,6707688243200.0,1.309501,0.272126,0.32683,0.054344,0.114746,0.317037,3.36,0.13
