run_id,date,time,timestamp,gpu_id,baseline,budget,step,checkpoint_idx,M,B,N_per_prompt,S,K,T,R,probe_seed,total_bias_norm,total_bias_proj_mean,total_bias_proj_std,budget_bias_proj_mean,budget_bias_proj_std,baseline_bias_proj_mean,baseline_bias_proj_std,fusion_bias_proj_mean,fusion_bias_proj_std,total_var_mean,total_var_std,within_var_mean,within_var_std,across_var_mean,across_var_std,HL_proxy_mean,HL_proxy_std,g_hat_norm_mean,g_hat_norm_std,g_ref_norm_mean,g_ref_norm_std,reward_mean,reward_std_mean,elapsed_seconds,checkpoint_elapsed_seconds
20260307_182445_stv_none_gpu1,2026-03-07,18:24:47,2026-03-07T18:24:47.434889,0,stv,none,0,0,256,32,8,4,2,10,32,42,0.022347,0.003076,0.003468,0.0,0.0,0.003076,0.003468,0.0,0.0,0.001951,0.000974,0.001777,0.00103,0.000174,0.000311,0.004068,2.4e-05,0.234834,0.055738,0.238207,0.046375,0.094238,0.290534,0.59,0.59
20260307_182445_stv_none_gpu1,2026-03-07,18:24:48,2026-03-07T18:24:48.356411,0,stv,none,20,1,256,32,8,4,2,10,32,42,0.02174,0.003252,0.003842,0.0,0.0,0.003252,0.003842,0.0,0.0,0.00207,0.001504,0.001695,0.001585,0.000375,0.000629,0.004042,2.4e-05,0.222513,0.064475,0.21141,0.055769,0.094727,0.291871,1.12,0.2
20260307_182445_stv_none_gpu1,2026-03-07,18:24:48,2026-03-07T18:24:48.825393,0,stv,none,40,2,256,32,8,4,2,10,32,42,0.02006,0.002998,0.003406,0.0,0.0,0.002998,0.003406,0.0,0.0,0.001761,0.001033,0.00127,0.000895,0.000491,0.000752,0.00404,1.7e-05,0.215709,0.048568,0.209099,0.048785,0.098145,0.296401,1.59,0.2
20260307_182445_stv_none_gpu1,2026-03-07,18:24:49,2026-03-07T18:24:49.295846,0,stv,none,60,3,256,32,8,4,2,10,32,42,0.021172,0.003096,0.003717,0.0,0.0,0.003096,0.003717,0.0,0.0,0.002837,0.001853,0.002231,0.001653,0.000606,0.001031,0.004058,1.6e-05,0.264489,0.069862,0.26826,0.082979,0.107422,0.307207,2.06,0.2
20260307_182445_stv_none_gpu1,2026-03-07,18:24:49,2026-03-07T18:24:49.765691,0,stv,none,80,4,256,32,8,4,2,10,32,42,0.023887,0.003483,0.004193,0.0,0.0,0.003483,0.004193,0.0,0.0,0.002113,0.001103,0.001748,0.001203,0.000365,0.000579,0.00405,4e-05,0.234009,0.053049,0.241328,0.059876,0.100586,0.299997,2.54,0.21
20260307_182445_stv_none_gpu1,2026-03-07,18:24:50,2026-03-07T18:24:50.241983,0,stv,none,100,5,256,32,8,4,2,10,32,42,0.023079,0.003292,0.004043,0.0,0.0,0.003292,0.004043,0.0,0.0,0.002154,0.001476,0.001959,0.00154,0.000195,0.000382,0.004062,4.3e-05,0.228869,0.056704,0.240952,0.065415,0.097168,0.294504,2.98,0.17
20260307_182445_stv_none_gpu1,2026-03-07,18:24:50,2026-03-07T18:24:50.630360,0,stv,none,120,6,256,32,8,4,2,10,32,42,0.031076,0.004454,0.005454,0.0,0.0,0.004454,0.005454,0.0,0.0,0.002467,0.001165,0.002093,0.001212,0.000374,0.000748,0.004065,3.9e-05,0.248402,0.035187,0.257053,0.051414,0.104004,0.30486,3.36,0.17
20260307_182445_stv_none_gpu1,2026-03-07,18:24:51,2026-03-07T18:24:51.015973,0,stv,none,140,7,256,32,8,4,2,10,32,42,0.031687,0.004849,0.005511,0.0,0.0,0.004849,0.005511,0.0,0.0,0.004105,0.001983,0.003616,0.002139,0.000489,0.000871,0.004072,3e-05,0.315046,0.091372,0.315083,0.097151,0.11377,0.31447,3.75,0.17
20260307_182445_stv_none_gpu1,2026-03-07,18:24:51,2026-03-07T18:24:51.397814,0,stv,none,160,8,256,32,8,4,2,10,32,42,0.033134,0.004648,0.005708,0.0,0.0,0.004648,0.005708,0.0,0.0,0.002573,0.001386,0.001928,0.001423,0.000645,0.000897,0.004095,5.2e-05,0.267357,0.030185,0.289995,0.043503,0.10498,0.306222,4.13,0.17
20260307_182445_stv_none_gpu1,2026-03-07,18:24:51,2026-03-07T18:24:51.768755,0,stv,none,180,9,256,32,8,4,2,10,32,42,0.035158,0.005024,0.005565,0.0,0.0,0.005024,0.005565,0.0,0.0,0.003421,0.0015,0.003119,0.00161,0.000302,0.000587,0.004067,2.8e-05,0.301172,0.063643,0.309763,0.073891,0.116699,0.319735,4.5,0.17
