run_id,date,time,timestamp,gpu_id,baseline,budget,step,checkpoint_idx,M,B,N_per_prompt,S,K,T,R,probe_seed,total_bias_norm,total_bias_proj_mean,total_bias_proj_std,budget_bias_proj_mean,budget_bias_proj_std,baseline_bias_proj_mean,baseline_bias_proj_std,fusion_bias_proj_mean,fusion_bias_proj_std,total_var_mean,total_var_std,within_var_mean,within_var_std,across_var_mean,across_var_std,HL_proxy_mean,HL_proxy_std,g_hat_norm_mean,g_hat_norm_std,g_ref_norm_mean,g_ref_norm_std,reward_mean,reward_std_mean,elapsed_seconds,checkpoint_elapsed_seconds
20260309_150817_rloo_prompt_skip_gpu2,2026-03-09,15:08:20,2026-03-09T15:08:20.342897,0,rloo,prompt_skip,0,0,256,32,8,4,2,10,32,42,0.023214,0.003179,0.004089,0.0,0.0,0.003179,0.004089,0.0,0.0,0.00178,0.001168,0.000963,0.000653,0.000818,0.000957,0.002633,0.000345,0.231986,0.046059,0.231423,0.045062,0.098145,0.296406,1.38,1.38
20260309_150817_rloo_prompt_skip_gpu2,2026-03-09,15:08:23,2026-03-09T15:08:23.497426,0,rloo,prompt_skip,20,1,256,32,8,4,2,10,32,42,0.026591,0.003898,0.004697,0.0,0.0,0.003898,0.004697,0.0,0.0,0.002004,0.001402,0.001034,0.000723,0.00097,0.001106,0.002651,0.000388,0.245426,0.049049,0.243122,0.044575,0.101074,0.30027,3.92,0.76
20260309_150817_rloo_prompt_skip_gpu2,2026-03-09,15:08:25,2026-03-09T15:08:25.958257,0,rloo,prompt_skip,40,2,256,32,8,4,2,10,32,42,0.027119,0.003917,0.004775,0.0,0.0,0.003917,0.004776,0.0,0.0,0.00205,0.001443,0.001012,0.000756,0.001038,0.001178,0.002633,0.00033,0.245877,0.047539,0.237996,0.040447,0.100098,0.299259,6.44,0.82
20260309_150817_rloo_prompt_skip_gpu2,2026-03-09,15:08:28,2026-03-09T15:08:28.481555,0,rloo,prompt_skip,60,3,256,32,8,4,2,10,32,42,0.026622,0.003712,0.004704,0.0,0.0,0.003711,0.004704,0.0,0.0,0.002083,0.001441,0.000934,0.000698,0.001149,0.001217,0.002686,0.000333,0.249681,0.051378,0.24238,0.046371,0.102051,0.301524,8.91,0.77
20260309_150817_rloo_prompt_skip_gpu2,2026-03-09,15:08:30,2026-03-09T15:08:30.939651,0,rloo,prompt_skip,80,4,256,32,8,4,2,10,32,42,0.027415,0.003964,0.004835,0.0,0.0,0.003964,0.004835,0.0,0.0,0.002294,0.001538,0.001057,0.00078,0.001236,0.001206,0.00272,0.000356,0.261792,0.053777,0.255641,0.045907,0.106934,0.307744,11.43,0.84
20260309_150817_rloo_prompt_skip_gpu2,2026-03-09,15:08:33,2026-03-09T15:08:33.213223,0,rloo,prompt_skip,100,5,256,32,8,4,2,10,32,42,0.032025,0.004643,0.00564,0.0,0.0,0.004643,0.00564,0.0,0.0,0.002299,0.001577,0.001098,0.000775,0.001201,0.001188,0.00272,0.000342,0.265248,0.059502,0.26095,0.052699,0.108398,0.309145,13.71,0.84
20260309_150817_rloo_prompt_skip_gpu2,2026-03-09,15:08:35,2026-03-09T15:08:35.728480,0,rloo,prompt_skip,120,6,256,32,8,4,2,10,32,42,0.030524,0.004455,0.005373,0.0,0.0,0.004455,0.005373,0.0,0.0,0.002392,0.001668,0.001126,0.000837,0.001266,0.001269,0.002668,0.000365,0.270497,0.055032,0.264195,0.0481,0.107422,0.30764,16.21,0.83
20260309_150817_rloo_prompt_skip_gpu2,2026-03-09,15:08:38,2026-03-09T15:08:38.278768,0,rloo,prompt_skip,140,7,256,32,8,4,2,10,32,42,0.029764,0.004346,0.005232,0.0,0.0,0.004346,0.005232,0.0,0.0,0.002418,0.001564,0.001139,0.000703,0.001278,0.001333,0.002703,0.000341,0.275008,0.047344,0.26771,0.042964,0.108887,0.309669,18.76,0.82
20260309_150817_rloo_prompt_skip_gpu2,2026-03-09,15:08:40,2026-03-09T15:08:40.790630,0,rloo,prompt_skip,160,8,256,32,8,4,2,10,32,42,0.034287,0.005032,0.006034,0.0,0.0,0.005032,0.006034,0.0,0.0,0.002511,0.001582,0.001214,0.000751,0.001297,0.00147,0.002686,0.000374,0.28132,0.041699,0.273817,0.042005,0.111816,0.313333,21.27,0.82
20260309_150817_rloo_prompt_skip_gpu2,2026-03-09,15:08:43,2026-03-09T15:08:43.305070,0,rloo,prompt_skip,180,9,256,32,8,4,2,10,32,42,0.036243,0.005346,0.006359,0.0,0.0,0.005346,0.006359,0.0,0.0,0.003045,0.00232,0.00133,0.000855,0.001715,0.002272,0.002703,0.000304,0.307653,0.025282,0.30093,0.026008,0.116699,0.319917,23.73,0.77
20260309_150817_rloo_prompt_skip_gpu2,2026-03-09,15:08:45,2026-03-09T15:08:45.769195,0,rloo,prompt_skip,200,10,256,32,8,4,2,10,32,42,0.032118,0.004689,0.005583,0.0,0.0,0.004689,0.005583,0.0,0.0,0.003155,0.002261,0.001567,0.000992,0.001588,0.00201,0.002703,0.000341,0.321429,0.040291,0.321492,0.026643,0.121582,0.325477,26.25,0.82
