run_id,date,time,timestamp,gpu_id,baseline,budget,step,checkpoint_idx,M,B,N_per_prompt,S,K,T,R,probe_seed,total_bias_norm,total_bias_proj_mean,total_bias_proj_std,budget_bias_proj_mean,budget_bias_proj_std,baseline_bias_proj_mean,baseline_bias_proj_std,fusion_bias_proj_mean,fusion_bias_proj_std,total_var_mean,total_var_std,within_var_mean,within_var_std,across_var_mean,across_var_std,HL_proxy_mean,HL_proxy_std,g_hat_norm_mean,g_hat_norm_std,g_ref_norm_mean,g_ref_norm_std,reward_mean,reward_std_mean,elapsed_seconds,checkpoint_elapsed_seconds
20260310_011449_grpo_rollout_alloc_gpu1,2026-03-10,01:14:51,2026-03-10T01:14:51.867069,0,grpo,rollout_alloc,0,0,256,32,8,4,2,10,32,42,0.049718,0.007122,0.008512,0.017296,0.020044,0.003145,0.003593,0.015713,0.0175,0.003363,0.001865,0.002163,0.001165,0.0012,0.00164,923761246208.0,764714811392.0,0.294543,0.103414,0.282668,0.127354,0.092285,0.288892,0.68,0.68
20260310_011449_grpo_rollout_alloc_gpu1,2026-03-10,01:14:52,2026-03-10T01:14:52.912110,0,grpo,rollout_alloc,20,1,256,32,8,4,2,10,32,42,0.053078,0.007717,0.008929,0.016374,0.018651,0.00344,0.003905,0.012908,0.014964,0.003304,0.001809,0.002264,0.001222,0.001039,0.0014,878258880512.0,815999811584.0,0.294659,0.101599,0.276765,0.119911,0.093262,0.290265,1.3,0.26
20260310_011449_grpo_rollout_alloc_gpu1,2026-03-10,01:14:53,2026-03-10T01:14:53.486686,0,grpo,rollout_alloc,40,2,256,32,8,4,2,10,32,42,0.054979,0.007965,0.008972,0.017099,0.01968,0.003873,0.004395,0.012761,0.015443,0.003335,0.001839,0.002272,0.001199,0.001064,0.001539,975688302592.0,861969907712.0,0.287505,0.114778,0.278521,0.121452,0.091797,0.287786,1.86,0.24
20260310_011449_grpo_rollout_alloc_gpu1,2026-03-10,01:14:54,2026-03-10T01:14:54.044615,0,grpo,rollout_alloc,60,3,256,32,8,4,2,10,32,42,0.053737,0.007865,0.008752,0.015423,0.019588,0.003834,0.004414,0.012349,0.016447,0.003776,0.002131,0.002408,0.001342,0.001367,0.001755,1007767781376.0,901292032000.0,0.305683,0.111437,0.284427,0.117575,0.093262,0.290234,2.43,0.26
20260310_011449_grpo_rollout_alloc_gpu1,2026-03-10,01:14:54,2026-03-10T01:14:54.612752,0,grpo,rollout_alloc,80,4,256,32,8,4,2,10,32,42,0.058107,0.008674,0.009842,0.016599,0.020685,0.003876,0.004775,0.012767,0.016909,0.00392,0.002188,0.002715,0.00187,0.001205,0.001545,949582233600.0,818361466880.0,0.31417,0.119252,0.298716,0.115208,0.097168,0.295448,2.97,0.23
20260310_011449_grpo_rollout_alloc_gpu1,2026-03-10,01:14:55,2026-03-10T01:14:55.150897,0,grpo,rollout_alloc,100,5,256,32,8,4,2,10,32,42,0.056549,0.007961,0.009646,0.018561,0.022864,0.004113,0.004885,0.013043,0.017497,0.00391,0.002132,0.002704,0.001636,0.001206,0.001563,1021107830784.0,944771497984.0,0.316484,0.11789,0.316253,0.120173,0.098633,0.297387,3.51,0.23
20260310_011449_grpo_rollout_alloc_gpu1,2026-03-10,01:14:55,2026-03-10T01:14:55.688074,0,grpo,rollout_alloc,120,6,256,32,8,4,2,10,32,42,0.056312,0.008306,0.009567,0.020894,0.025584,0.004162,0.005066,0.014738,0.019612,0.005081,0.003151,0.003349,0.001996,0.001732,0.002335,757137539072.0,733945921536.0,0.360024,0.1342,0.349024,0.129168,0.102539,0.302362,4.05,0.23
20260310_011449_grpo_rollout_alloc_gpu1,2026-03-10,01:14:56,2026-03-10T01:14:56.233982,0,grpo,rollout_alloc,140,7,256,32,8,4,2,10,32,42,0.062888,0.008756,0.010443,0.023215,0.028903,0.00438,0.005575,0.018177,0.023469,0.007127,0.005486,0.003839,0.002467,0.003287,0.004209,775098138624.0,774829047808.0,0.415103,0.185822,0.396924,0.167057,0.109863,0.310908,4.59,0.23
20260310_011449_grpo_rollout_alloc_gpu1,2026-03-10,01:14:56,2026-03-10T01:14:56.772656,0,grpo,rollout_alloc,160,8,256,32,8,4,2,10,32,42,0.060944,0.009524,0.010499,0.028227,0.032748,0.005346,0.007246,0.014314,0.018884,0.007918,0.006744,0.003846,0.00313,0.004071,0.00475,744656338944.0,517577736192.0,0.462561,0.18271,0.474994,0.182013,0.12793,0.331732,5.12,0.21
20260310_011449_grpo_rollout_alloc_gpu1,2026-03-10,01:14:57,2026-03-10T01:14:57.272680,0,grpo,rollout_alloc,180,9,256,32,8,4,2,10,32,42,0.158566,0.022406,0.028012,0.045112,0.055005,0.008226,0.0101,0.014319,0.020391,0.012584,0.012667,0.004471,0.004088,0.008113,0.009999,893419520000.0,843239718912.0,0.606019,0.149748,0.705231,0.191679,0.15625,0.36146,5.6,0.19
20260310_011449_grpo_rollout_alloc_gpu1,2026-03-10,01:14:57,2026-03-10T01:14:57.757814,0,grpo,rollout_alloc,200,10,256,32,8,4,2,10,32,42,0.198124,0.02973,0.034997,0.056655,0.065716,0.008783,0.010303,0.014612,0.018814,0.014682,0.015163,0.00398,0.002963,0.010702,0.013466,679489830912.0,818550013952.0,0.652048,0.175771,0.825259,0.209674,0.192871,0.391881,6.11,0.21
