run_id,date,time,timestamp,gpu_id,baseline,budget,dataset,lora_rank,step,checkpoint_idx,M,B,N_per_prompt,S,K,T,R,probe_seed,total_bias_norm,total_bias_proj_mean,total_bias_proj_std,budget_bias_rms,baseline_bias_rms,fusion_bias_rms,total_var_mean,total_var_std,within_var_mean,within_var_std,across_var_mean,across_var_std,HL_proxy_mean,HL_proxy_std,g_hat_norm_mean,g_hat_norm_std,g_ref_norm_mean,g_ref_norm_std,reward_mean,reward_std_mean,reward_verifiable_ratio,elapsed_seconds,checkpoint_elapsed_seconds
20260321_165550_grpo_none_mmstar_gpu3,2026-03-21,16:56:06,2026-03-21T16:56:06.998759,3,grpo,none,mmstar,16,0,0,64,2,4,4,2,4,8,42,17.381451,13.666355,15.334569,0.0,15.004233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937500025552896.0,0.0,0.0,0.0,77.99147,65.98687,0.375,0.375,0.75,122.19,122.19
20260321_165550_grpo_none_mmstar_gpu3,2026-03-21,17:13:16,2026-03-21T17:13:16.172355,3,grpo,none,mmstar,16,50,1,64,2,4,4,2,4,8,42,15.463917,13.247087,13.439602,0.0,15.474104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937500025552896.0,0.0,0.0,0.0,60.504864,74.512283,0.25,0.25,0.5,1160.93,131.76
20260321_165550_grpo_none_mmstar_gpu3,2026-03-21,17:30:40,2026-03-21T17:30:40.880439,3,grpo,none,mmstar,16,100,2,64,2,4,4,2,4,8,42,15.246676,11.378248,12.624529,0.0,16.298151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937500025552896.0,0.0,0.0,0.0,43.124115,74.693161,0.25,0.0,0.25,2209.06,135.18
20260321_165550_grpo_none_mmstar_gpu3,2026-03-21,17:47:17,2026-03-21T17:47:17.982988,3,grpo,none,mmstar,16,150,3,64,2,4,4,2,4,8,42,18.991508,15.272437,18.472101,0.0,16.668386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937500025552896.0,0.0,0.0,0.0,75.36087,59.178543,0.375,0.375,0.75,3252.27,181.29
20260321_165550_grpo_none_mmstar_gpu3,2026-03-21,18:03:34,2026-03-21T18:03:34.499397,3,grpo,none,mmstar,16,200,4,64,2,4,4,2,4,8,42,1.763122,1.543384,1.684222,0.0,4.575929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937500025552896.0,0.0,0.0,0.0,4.986866,8.637505,0.125,0.125,0.25,4136.47,88.97
20260322_201716_grpo_none_mathvista_gpu6,2026-03-22,20:17:33,2026-03-22T20:17:33.055010,6,grpo,none,mathvista,16,0,0,64,2,4,4,2,4,8,42,10.80158,9.581106,10.610826,0.0,11.579168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937500025552896.0,0.0,0.0,0.0,39.323364,33.229046,0.5,0.5,1.0,142.01,142.01
20260322_201716_grpo_none_mathvista_gpu6,2026-03-22,20:42:55,2026-03-22T20:42:55.392782,6,grpo,none,mathvista,16,50,1,64,2,4,4,2,4,8,42,6.442171,6.027055,6.394409,0.0,7.118033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937500025552896.0,0.0,0.0,0.0,21.691322,28.407356,0.625,0.125,0.75,1588.77,66.43
20260322_201716_grpo_none_mathvista_gpu6,2026-03-22,21:10:19,2026-03-22T21:10:19.961066,6,grpo,none,mathvista,16,100,2,64,2,4,4,2,4,8,42,6.905279,5.23178,6.875724,0.0,6.920731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937500025552896.0,0.0,0.0,0.0,20.123287,33.896038,0.5,0.25,0.75,3327.98,161.07
20260322_201716_grpo_none_mathvista_gpu6,2026-03-22,21:35:48,2026-03-22T21:35:48.957748,6,grpo,none,mathvista,16,150,3,64,2,4,4,2,4,8,42,5.190439,4.688672,5.111609,0.0,6.391642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937500025552896.0,0.0,0.0,0.0,25.108463,30.192923,0.375,0.125,0.5,4774.72,78.82
20260322_201716_grpo_none_mathvista_gpu6,2026-03-22,22:01:33,2026-03-22T22:01:33.185272,6,grpo,none,mathvista,16,200,4,64,2,4,4,2,4,8,42,2.079231,1.524063,2.03883,0.0,2.919761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937500025552896.0,0.0,0.0,0.0,11.07777,6.504134,0.375,0.375,0.75,6424.86,184.73
