run_id,date,time,timestamp,gpu_id,baseline,budget,step,checkpoint_idx,M,B,N_per_prompt,S,K,T,R,probe_seed,total_bias_norm,total_bias_proj_mean,total_bias_proj_std,budget_bias_proj_mean,budget_bias_proj_std,baseline_bias_proj_mean,baseline_bias_proj_std,fusion_bias_proj_mean,fusion_bias_proj_std,total_var_mean,total_var_std,within_var_mean,within_var_std,across_var_mean,across_var_std,HL_proxy_mean,HL_proxy_std,g_hat_norm_mean,g_hat_norm_std,g_ref_norm_mean,g_ref_norm_std,reward_mean,reward_std_mean,elapsed_seconds,checkpoint_elapsed_seconds
pilot_grpo_subsetselect_gpu2,2026-03-02,01:22:31,2026-03-02T01:22:31.592853,0,grpo,subset_select,0,0,256,32,8,4,2,10,32,42,0.003047,0.000426,0.000534,0.000129,0.000159,3.6e-05,4.1e-05,5.7e-05,6.9e-05,3e-06,2e-06,1e-06,1e-06,2e-06,2e-06,31776428785664.0,4586371284992.0,0.009911,0.002302,0.00247,0.000625,0.094238,0.290534,4.63,4.63
pilot_grpo_subsetselect_gpu2,2026-03-02,01:22:36,2026-03-02T01:22:36.662783,0,grpo,subset_select,20,1,256,32,8,4,2,10,32,42,0.00655,0.00102,0.001158,0.000259,0.000297,4e-05,5.1e-05,5.7e-05,7.1e-05,3e-06,1e-06,1e-06,1e-06,2e-06,1e-06,29907226722304.0,5340576874496.0,0.011671,0.003384,0.002586,0.000701,0.095703,0.293293,10.23,5.16
pilot_grpo_subsetselect_gpu2,2026-03-02,01:22:42,2026-03-02T01:22:42.060663,0,grpo,subset_select,40,2,256,32,8,4,2,10,32,42,0.003804,0.000569,0.000666,0.000166,0.000199,3.2e-05,3.5e-05,4.7e-05,5.8e-05,2e-06,1e-06,1e-06,0.0,2e-06,1e-06,28839111557120.0,2616337367040.0,0.00966,0.002314,0.002155,0.000529,0.098145,0.296675,15.6,5.13
pilot_grpo_subsetselect_gpu2,2026-03-02,01:22:47,2026-03-02T01:22:47.434896,0,grpo,subset_select,60,3,256,32,8,4,2,10,32,42,0.004119,0.000602,0.000725,0.000192,0.000249,7.3e-05,8.6e-05,7.1e-05,8.4e-05,4e-06,2e-06,1e-06,1e-06,3e-06,2e-06,27236939857920.0,5313808302080.0,0.011988,0.002803,0.002785,0.000864,0.109375,0.309608,21.03,5.19
pilot_grpo_subsetselect_gpu2,2026-03-02,01:22:52,2026-03-02T01:22:52.864561,0,grpo,subset_select,80,4,256,32,8,4,2,10,32,42,0.003205,0.000413,0.000546,0.000102,0.000132,3.4e-05,4.2e-05,3.4e-05,4.5e-05,4e-06,4e-06,1e-06,0.0,3e-06,4e-06,27503968124928.0,3766904160256.0,0.011318,0.002994,0.002696,0.000524,0.103516,0.303923,26.44,5.16
pilot_grpo_subsetselect_gpu2,2026-03-02,01:22:58,2026-03-02T01:22:58.262543,0,grpo,subset_select,100,5,256,32,8,4,2,10,32,42,0.003781,0.000518,0.000661,0.000169,0.000206,6.2e-05,6.6e-05,7.4e-05,8.6e-05,3e-06,2e-06,1e-06,1e-06,2e-06,1e-06,30708315717632.0,5645623885824.0,0.01072,0.001195,0.002622,0.000434,0.097656,0.295303,31.77,5.11
pilot_grpo_subsetselect_gpu2,2026-03-02,01:23:03,2026-03-02T01:23:03.601123,0,grpo,subset_select,120,6,256,32,8,4,2,10,32,42,0.00344,0.000499,0.0006,0.000145,0.000177,6.8e-05,8.5e-05,5.4e-05,6.4e-05,3e-06,2e-06,1e-06,0.0,2e-06,2e-06,26969911590912.0,3690411327488.0,0.010427,0.001812,0.002479,0.000342,0.103027,0.303449,37.02,5.01
pilot_grpo_subsetselect_gpu2,2026-03-02,01:23:08,2026-03-02T01:23:08.848124,0,grpo,subset_select,140,7,256,32,8,4,2,10,32,42,0.004397,0.000649,0.000769,0.00022,0.000259,6.6e-05,7.7e-05,7.1e-05,8.7e-05,4e-06,2e-06,1e-06,1e-06,2e-06,2e-06,29373170188288.0,7064917639168.0,0.011908,0.00219,0.003128,0.00076,0.111328,0.312268,42.43,5.17
pilot_grpo_subsetselect_gpu2,2026-03-02,01:23:14,2026-03-02T01:23:14.257366,0,grpo,subset_select,160,8,256,32,8,4,2,10,32,42,0.003453,0.000479,0.000571,0.00019,0.00021,6.2e-05,7.4e-05,8.7e-05,9.3e-05,3e-06,2e-06,1e-06,1e-06,2e-06,1e-06,30975341887488.0,5947014512640.0,0.010334,0.002568,0.002801,0.000723,0.104492,0.305454,47.81,5.14
pilot_grpo_subsetselect_gpu2,2026-03-02,01:23:19,2026-03-02T01:23:19.638496,0,grpo,subset_select,180,9,256,32,8,4,2,10,32,42,0.004243,0.000631,0.000732,0.000196,0.000225,6.1e-05,7.7e-05,7e-05,8.9e-05,5e-06,3e-06,1e-06,1e-06,4e-06,3e-06,25367737794560.0,6707688243200.0,0.013374,0.002784,0.003336,0.000556,0.114746,0.317037,53.17,5.12
