run_id,date,time,timestamp,gpu_id,baseline,budget,step,checkpoint_idx,M,B,N_per_prompt,S,K,T,R,probe_seed,total_bias_norm,total_bias_proj_mean,total_bias_proj_std,budget_bias_proj_mean,budget_bias_proj_std,baseline_bias_proj_mean,baseline_bias_proj_std,fusion_bias_proj_mean,fusion_bias_proj_std,total_var_mean,total_var_std,within_var_mean,within_var_std,across_var_mean,across_var_std,HL_proxy_mean,HL_proxy_std,g_hat_norm_mean,g_hat_norm_std,g_ref_norm_mean,g_ref_norm_std,reward_mean,reward_std_mean,elapsed_seconds,checkpoint_elapsed_seconds
pilot_rloo_none_gpu1,2026-03-02,01:22:26,2026-03-02T01:22:26.961148,0,rloo,none,0,0,256,32,8,4,2,10,32,42,0.000264,4.1e-05,4.6e-05,0.0,0.0,4.1e-05,4.6e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004464,0.0,0.00245,0.00085,0.00247,0.000625,0.094238,0.290534,5.26,5.26
pilot_rloo_none_gpu1,2026-03-02,01:22:32,2026-03-02T01:22:32.590188,0,rloo,none,20,1,256,32,8,4,2,10,32,42,0.000395,6e-05,6.9e-05,0.0,0.0,6e-05,6.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004464,0.0,0.002822,0.00083,0.00256,0.000701,0.094727,0.291871,10.63,5.0
pilot_rloo_none_gpu1,2026-03-02,01:22:37,2026-03-02T01:22:37.732568,0,rloo,none,40,2,256,32,8,4,2,10,32,42,0.000212,2.9e-05,3.4e-05,0.0,0.0,2.9e-05,3.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004464,0.0,0.002291,0.000406,0.00214,0.000486,0.098633,0.297054,15.89,5.12
pilot_rloo_none_gpu1,2026-03-02,01:22:42,2026-03-02T01:22:42.987074,0,rloo,none,60,3,256,32,8,4,2,10,32,42,0.000418,6.4e-05,7.4e-05,0.0,0.0,6.4e-05,7.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004464,0.0,0.002805,0.000587,0.002802,0.000824,0.107422,0.307207,21.07,5.05
pilot_rloo_none_gpu1,2026-03-02,01:22:48,2026-03-02T01:22:48.170803,0,rloo,none,80,4,256,32,8,4,2,10,32,42,0.000263,4e-05,4.5e-05,0.0,0.0,4e-05,4.5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004464,0.0,0.002756,0.000661,0.00271,0.000667,0.101074,0.300753,26.16,4.95
pilot_rloo_none_gpu1,2026-03-02,01:22:53,2026-03-02T01:22:53.256020,0,rloo,none,100,5,256,32,8,4,2,10,32,42,0.000394,5.7e-05,6.2e-05,0.0,0.0,5.7e-05,6.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004464,0.0,0.002412,0.000261,0.002518,0.000474,0.096191,0.293033,31.32,5.02
pilot_rloo_none_gpu1,2026-03-02,01:22:58,2026-03-02T01:22:58.417575,0,rloo,none,120,6,256,32,8,4,2,10,32,42,0.000574,8.1e-05,0.000102,0.0,0.0,8.1e-05,0.000102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004464,0.0,0.002467,0.000421,0.00251,0.000386,0.103516,0.304175,36.51,5.05
pilot_rloo_none_gpu1,2026-03-02,01:23:03,2026-03-02T01:23:03.605408,0,rloo,none,140,7,256,32,8,4,2,10,32,42,0.000421,6.2e-05,7e-05,0.0,0.0,6.2e-05,7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004464,0.0,0.003016,0.00063,0.00312,0.000835,0.115723,0.317418,41.7,5.06
pilot_rloo_none_gpu1,2026-03-02,01:23:08,2026-03-02T01:23:08.798646,0,rloo,none,160,8,256,32,8,4,2,10,32,42,0.000401,5.2e-05,7e-05,0.0,0.0,5.2e-05,7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004464,0.0,0.002731,0.000744,0.002969,0.000739,0.104004,0.304976,46.73,4.9
pilot_rloo_none_gpu1,2026-03-02,01:23:13,2026-03-02T01:23:13.829604,0,rloo,none,180,9,256,32,8,4,2,10,32,42,0.000315,4.3e-05,5.5e-05,0.0,0.0,4.3e-05,5.5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004464,0.0,0.003234,0.000695,0.00324,0.000679,0.11377,0.315676,51.64,4.77
